Country Name,2018,2019,2020,2021
Afghanistan,63.081,63.565,62.575,61.982
Albania,79.184,79.282,76.989,76.463
Algeria,76.066,76.474,74.453,76.377
Andorra,81.3243902439024,81.5292682926829,80.5317073170732,79.329
Angola,62.144,62.448,62.261,61.643
Antigua and Barbuda,78.511,78.691,78.841,78.497
Argentina,76.999,77.284,75.892,75.39
Armenia,75.064,75.439,72.173,72.043
Australia,82.7487804878049,82.9,83.2,83.3
Austria,81.6926829268293,81.8951219512195,81.1926829268293,81.190243902439
Azerbaijan,72.76,73.102,66.868,69.366
Bahamas,73.806,71.205,72.677,71.598
Bahrain,79.857,80.019,79.174,78.76
Bangladesh,72.567,72.806,71.968,72.381
Barbados,77.067,77.257,77.393,77.571
Belarus,74.1756097560976,74.2268292682927,72.4572195121951,72.3706829268293
Belgium,81.5951219512195,81.9951219512195,80.6951219512195,81.790243902439
Belize,73.703,73.931,72.854,70.47
Benin,60.14,60.454,60.088,59.821
Bhutan,71.129,71.391,71.609,71.815
"Bolivia, Plurinational State of",67.748,67.841,64.467,63.63
Bosnia and Herzegovina,77.093,77.241,76.225,75.3
Botswana,65.422,65.464,65.647,61.141
Brazil,75.109,75.338,74.009,72.75
Brunei Darussalam,74.712,74.748,74.795,74.642
Bulgaria,74.9634146341464,75.1121951219512,73.6585365853659,71.4634146341463
Burkina Faso,60.047,60.039,59.731,59.27
Burundi,61.688,62.351,61.566,61.663
Cabo Verde,75.733,76.004,74.808,74.052
Cambodia,70.561,70.692,70.416,69.584
Cameroon,61.18,61.584,60.833,60.333
Canada,81.8439024390244,82.2239024390244,81.6604878048781,81.5870731707317
Central African Republic,54.369,55.025,54.604,53.895
Chad,52.825,53.259,52.777,52.525
Chile,80.133,80.326,79.377,78.944
China,77.744,77.968,78.077,78.211
Colombia,76.748,76.752,74.769,72.83
Comoros,63.912,64.068,64.166,63.417
"Congo, Democratic Republic of the",59.942,60.276,59.739,59.193
Congo,64.053,62.747,63.785,63.519
Costa Rica,79.484,79.427,79.277,77.023
Côte d'Ivoire,58.849,59.319,59.032,58.598
Croatia,78.0707317073171,78.4243902439025,77.7243902439024,76.4243902439025
Cuba,77.496,77.611,77.567,73.683
Cyprus,81.382,81.397,81.391,81.203
Czechia,79.0292682926829,79.2292682926829,78.1756097560976,77.2219512195122
Denmark,80.9536585365854,81.4512195121951,81.6024390243903,81.4048780487805
Djibouti,63.038,63.085,62.694,62.305
Dominica,73.59,73.559,73.649,72.814
Dominican Republic,73.232,73.577,72.889,72.615
Ecuador,77.094,77.297,72.153,73.67
Egypt,71.367,71.358,70.99,70.221
El Salvador,72.555,72.559,71.061,70.748
Equatorial Guinea,61.191,61.644,60.708,60.594
Eritrea,67.067,67.3,67.133,66.536
Estonia,78.2439024390244,78.6463414634147,78.5951219512195,76.9439024390244
Eswatini,59.411,60.549,59.692,57.066
Ethiopia,65.412,65.838,65.371,64.975
Fiji,67.81,67.893,67.924,67.114
Finland,81.7341463414634,81.9829268292683,81.9317073170732,81.8853658536585
France,82.6756097560976,82.8268292682927,82.1756097560976,82.3243902439024
Gabon,66.306,66.603,66.531,65.821
Gambia,63.04,63.755,62.612,62.083
Georgia,73.341,73.47,72.765,71.694
Germany,80.8926829268293,81.2926829268293,81.0414634146342,80.790243902439
Ghana,64.122,64.74,64.114,63.795
Greece,81.7878048780488,81.6390243902439,81.2878048780488,80.0829268292683
Grenada,74.808,74.863,74.924,74.936
Guatemala,72.726,73.129,71.797,69.237
Guinea,59.349,59.72,59.327,58.892
Guinea-Bissau,60.502,60.882,59.999,59.652
Guyana,68.896,69.124,68.486,65.673
Haiti,64.019,64.255,64.052,63.192
Honduras,72.814,72.881,71.462,70.123
Hungary,76.0658536585366,76.3195121951219,75.5682926829269,74.1634146341463
Iceland,82.8609756097561,83.1634146341463,83.0634146341463,83.1658536585366
India,70.71,70.91,70.15,67.24
Indonesia,70.338,70.518,68.808,67.57
"Iran, Islamic Republic of",76.195,76.103,74.832,73.875
Iraq,71.514,71.576,69.123,70.378
Ireland,82.2048780487805,82.7024390243903,82.5560975609756,82.3536585365854
Israel,82.8024390243903,82.8048780487805,82.6487804878049,82.5
Italy,83.3463414634146,83.4975609756098,82.1951219512195,82.6463414634146
Jamaica,71.793,71.767,71.869,70.5
Japan,84.2109756097561,84.3563414634146,84.56,84.4456097560976
Jordan,75.774,76.044,75.184,74.256
Kazakhstan,73.15,73.18,71.37,70.23
Kenya,62.676,62.943,62.675,61.427
Kiribati,66.855,67.15,67.266,67.417
"Korea, Democratic People's Republic of",73.031,73.198,73.274,73.284
"Korea, Republic of",82.6268292682927,83.2268292682927,83.4268292682927,83.5268292682927
Kuwait,79.722,79.685,76.92,78.673
Kyrgyzstan,71.4,71.6,71.8,71.9
Lao People's Democratic Republic,67.634,68.138,68.497,68.061
Latvia,74.7829268292683,75.3878048780488,75.1853658536585,72.9804878048781
Lebanon,79.729,79.236,77.804,75.047
Lesotho,53.733,54.173,54.693,53.062
Liberia,60.853,61.104,60.948,60.747
Libya,72.794,72.463,72.472,71.911
Liechtenstein,83.0414634146342,84.1609756097561,81.6585365853659,84.4024390243902
Lithuania,75.6804878048781,76.2829268292683,74.9780487804878,74.0365853658537
Luxembourg,82.2951219512195,82.6390243902439,82.1439024390244,82.5975609756098
Madagascar,65.27,65.882,65.182,64.485
Malawi,63.276,64.119,63.717,62.904
Malaysia,75.644,75.76,75.938,74.884
Maldives,80.013,80.116,79.875,79.918
Mali,59.393,59.664,58.633,58.941
Malta,82.4487804878049,82.8585365853659,82.3487804878049,82.5073170731707
Marshall Islands,64.5,64.746,64.977,65.269
Mauritania,65.31,65.687,64.532,64.364
Mauritius,74.4163414634146,74.2358536585366,74.1770731707317,73.680243902439
Mexico,74.015,74.202,70.133,70.213
"Micronesia, Federated States of",71.318,71.077,70.674,70.71
"Moldova, Republic of",70.492,70.935,70.166,68.846
Monaco,82.05365853658535,82.37560975609756,81.5085365853659,82.05731707317071
Mongolia,71.199,71.822,72.141,70.975
Montenegro,76.8414634146342,76.6829268292683,75.9317073170732,73.8243902439024
Morocco,73.986,74.27,73.92,74.042
Mozambique,60.526,61.166,61.172,59.325
Myanmar,66.465,66.61,66.797,65.672
Namibia,62.586,63.075,62.829,59.269
Nauru,63.234,63.484,63.437,63.617
Nepal,68.979,69.558,69.246,68.45
"Netherlands, Kingdom of the",81.8121951219512,82.1121951219512,81.3585365853659,81.309756097561
New Zealand,81.7073170731707,82.0560975609756,82.2560975609756,82.2073170731707
Nicaragua,73.85,74.054,71.795,73.837
Niger,62.454,62.897,61.451,61.576
Nigeria,52.554,52.91,52.887,52.676
North Macedonia,76.6487804878049,76.6024390243903,74.3951219512195,73.2463414634146
Norway,82.7585365853659,82.9585365853659,83.209756097561,83.1634146341463
Oman,77.966,78.002,74.757,72.541
Pakistan,66.482,66.756,66.269,66.098
Palau,66.855,67.15,67.266,67.417
Panama,77.863,77.81,76.657,76.223
Papua New Guinea,65.182,65.474,65.787,65.351
Paraguay,73.568,73.621,73.182,70.262
Peru,76.009,76.156,73.665,72.377
Philippines,71.689,71.865,72.119,69.266
Poland,77.6024390243903,77.9048780487805,76.5,75.5024390243902
Portugal,81.3243902439024,81.6756097560976,80.9756097560976,81.3780487804878
Qatar,80.898,80.99,79.099,79.272
Romania,75.3585365853659,75.6073170731707,74.2536585365854,72.809756097561
Russian Federation,72.6621951219512,73.0839024390244,71.3387804878049,69.900243902439
Rwanda,66.251,66.437,66.774,66.072
Samoa,72.636,72.157,72.768,72.767
San Marino,81.3243902439024,81.5292682926829,80.5317073170732,79.329
Sao Tome and Principe,68.355,68.523,67.785,67.591
Saudi Arabia,77.212,77.304,76.239,76.936
Senegal,68.097,68.526,68.006,67.093
Serbia,75.890243902439,75.9365853658537,74.4780487804878,72.780487804878
Seychelles,72.8414634146341,74.0463414634146,77.2365853658537,73.3975609756097
Sierra Leone,59.796,60.255,59.763,60.062
Singapore,83.2975609756098,83.5951219512195,83.5439024390244,83.0926829268293
Slovakia,77.2658536585366,77.6658536585366,76.8658536585366,74.6146341463415
Slovenia,81.3780487804878,81.5292682926829,80.5317073170732,80.6756097560976
Solomon Islands,70.173,70.382,70.199,70.348
Somalia,56.375,57.078,55.967,55.28
South Africa,65.674,66.175,65.252,62.341
South Sudan,55.95,55.912,55.48,54.975
Spain,83.4317073170732,83.8317073170732,82.3317073170732,83.2292682926829
Sri Lanka,75.748,76.008,76.393,76.399
Saint Kitts and Nevis,71.467,71.572,71.627,71.682
Saint Lucia,73.357,73.445,73.416,71.111
Saint Vincent and the Grenadines,74.128,72.835,72.126,69.629
Sudan,65.681,65.876,65.614,65.267
Suriname,72.553,72.242,72.561,70.274
Sweden,82.5585365853659,83.109756097561,82.3560975609756,83.0560975609756
Switzerland,83.7536585365854,83.9048780487805,83.0,83.7512195121951
Syrian Arab Republic,70.145,71.822,72.14,72.063
Tajikistan,70.353,70.867,67.994,71.594
"Tanzania, United Republic of",66.535,66.989,66.408,66.201
Thailand,78.662,78.975,79.274,78.715
Timor-Leste,68.017,68.268,68.475,67.737
Togo,60.244,60.901,61.035,61.619
Tonga,70.779,70.871,70.928,70.986
Trinidad and Tobago,73.802,74.228,74.406,72.971
Tunisia,75.95,75.993,75.292,73.772
Türkiye,77.563,77.832,75.85,76.032
Turkmenistan,68.796,69.002,68.687,69.264
Tuvalu,64.212,64.278,64.382,64.547
Uganda,62.714,62.991,62.851,62.705
Ukraine,71.5826829268293,71.8273170731707,71.1851219512195,69.6478048780488
United Arab Emirates,79.627,79.726,78.946,78.71
United Kingdom of Great Britain and Northern Ireland,81.2560975609756,81.4048780487805,80.3512195121951,80.7
United States of America,78.6390243902439,78.7878048780488,76.9804878048781,76.3292682926829
Uruguay,77.611,77.508,78.43,75.436
Uzbekistan,71.149,71.344,70.331,70.862
Vanuatu,69.795,69.877,70.299,70.449
"Venezuela, Bolivarian Republic of",71.979,72.161,71.095,70.554
Viet Nam,73.976,74.093,75.378,73.618
Yemen,64.575,65.092,64.65,63.753
Zambia,62.342,62.793,62.38,61.223
Zimbabwe,61.414,61.292,61.124,59.253
